FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,Balanced.Accuracy,Model,Prompt
56,one_word_P4,0.619177966101695,0.5338983050847458,0.7033898305084746,0.31261305404351036,0.14285714285714285,0.4827586206896552,0.7186019159437961,0.6281976744186046,0.8131868131868132,0.26523941596382555,0.125,0.42110323886639667,0.31261305404351036,0.14285714285714285,0.4827586206896552,0.2838096154905134,0.14029038112522688,0.42624043715846993,0.5156074849936532,0.42518559574624676,0.6131740196078431,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P4
12,one_word_P5,0.6955245098039216,0.6372549019607843,0.7549019607843137,0.6513458554523951,0.5,0.7894736842105263,0.7086116071811522,0.6381548676138199,0.7735849056603774,0.39352884993753695,0.28762230919765164,0.5,0.6513458554523951,0.5,0.7894736842105263,0.48851367089582204,0.37835288118306987,0.5850633356790993,0.6799787313167737,0.6001278409090909,0.7566910538979925,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P5
12,one_word_P5,0.63548125,0.5625,0.70625,0.49386340956428276,0.3333333333333333,0.6501562499999999,0.6801360783022884,0.5999590163934426,0.7561026849764296,0.3263467588025655,0.21052631578947367,0.4406904287138584,0.49386340956428276,0.3333333333333333,0.6501562499999999,0.39046333419800805,0.2680068728522336,0.5094532152483635,0.5869997439332856,0.493712980030722,0.6778843148287071,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P5
34,one_word_P5,0.7173656387665198,0.6563876651982379,0.7797356828193832,0.7280324381866224,0.6164120126448894,0.8245822890559733,0.7126875451397173,0.6352180010198878,0.78064958020327,0.5315823157081053,0.43006912442396317,0.6292134831460674,0.7280324381866224,0.6164120126448894,0.8245822890559733,0.6129623894421075,0.5268822111873814,0.6994159647845828,0.7203599916631699,0.6579243483990319,0.7846548817985252,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P5
34,one_word_P5,0.624485549132948,0.5491329479768786,0.6994219653179191,0.4602145275681033,0.3259856300663228,0.6000943396226414,0.6909358137332084,0.6093580163043478,0.7731293386919986,0.37624686166832405,0.25803182214472536,0.5,0.4602145275681033,0.3259856300663228,0.6000943396226414,0.4118893983107802,0.2962573099415205,0.5203605514316013,0.5755751706506559,0.49388790897948476,0.6573098466981131,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P5
56,one_word_P5,0.6019444444444444,0.5333333333333333,0.6722222222222223,0.5391463282633916,0.38091133004926103,0.6923076923076923,0.620465089915102,0.539540675152186,0.6978614368778949,0.29497576546121607,0.19230769230769232,0.4,0.5391463282633916,0.38091133004926103,0.6923076923076923,0.379345552973355,0.26164018691588786,0.4833712121212121,0.5798057090892468,0.4948015502447357,0.6630831583404166,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P5
56,one_word_P5,0.5635359477124183,0.49019607843137253,0.6405228758169934,0.5726946817634658,0.40414893617021275,0.7272727272727273,0.5609904805535987,0.46788620893755556,0.6451686217008797,0.2784843500660307,0.1791044776119403,0.3784427284427284,0.5726946817634658,0.40414893617021275,0.7272727272727273,0.3725892145249942,0.25742574257425743,0.48388356854838704,0.5668425811585323,0.4787364237059359,0.6593821974842023,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P5
12,one_word_P6,0.7290490196078432,0.6617647058823529,0.7892156862745098,0.5635389141647857,0.41504306808859726,0.7111111111111111,0.7772562899759257,0.7077725618330714,0.8376623376623377,0.4238608114550282,0.3023071244001477,0.5500797872340425,0.5635389141647857,0.41504306808859726,0.7111111111111111,0.48149227418737744,0.3673469387755102,0.5981308411214953,0.6703976020703557,0.5917458046655005,0.7510316247807652,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P6
12,one_word_P6,0.5687360406091371,0.49746192893401014,0.6395939086294417,0.6033769929854736,0.45450257289879925,0.75,0.5583998955958314,0.474008658008658,0.635264280175756,0.2871171775696607,0.19625710097122961,0.37777777777777777,0.6033769929854736,0.45450257289879925,0.75,0.38747272865871235,0.28125,0.4903722084367246,0.5808884442906526,0.4978165443267375,0.6672986994650413,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P6
34,one_word_P6,0.7263964757709251,0.6696035242290749,0.7797356828193832,0.5778167910875092,0.46029601029601025,0.6935707885304659,0.7908099210026366,0.7272727272727273,0.8481012658227848,0.5452692297816271,0.4268252032520325,0.6543320105820105,0.5778167910875092,0.46029601029601025,0.6935707885304659,0.5593477100755498,0.45762434917469813,0.6527848639455782,0.6843133560450728,0.6201589929032812,0.7476657938835358,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P6
34,one_word_P6,0.6253648648648649,0.5585585585585585,0.6891891891891891,0.5954159153144447,0.4714075630252101,0.7101943346508564,0.6383538105066419,0.5576761744966443,0.7195180208171508,0.4174745168669609,0.3145987158908507,0.5168539325842697,0.5954159153144447,0.4714075630252101,0.7101943346508564,0.48920386320954146,0.38036809815950917,0.5780492238339333,0.6168848629105432,0.5437502824482269,0.6871295162580546,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P6
56,one_word_P6,0.6650944444444444,0.6,0.7333333333333333,0.36119031186442024,0.21621621621621623,0.5106501182033096,0.754733860494286,0.6808219747340425,0.826094504830918,0.3027263797863409,0.17851890756302524,0.4318717838765008,0.36119031186442024,0.21621621621621623,0.5106501182033096,0.32691573964758336,0.1951219512195122,0.4465038121990368,0.5579620861793532,0.4791517857142857,0.6383576924824926,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P6
56,one_word_P6,0.4899191919191919,0.41919191919191917,0.5555555555555556,0.5307370428108966,0.3877551020408163,0.6792452830188679,0.4769488184768136,0.3943403755868544,0.5563950947061681,0.2412599295902457,0.16159361471861472,0.3297925531914893,0.5307370428108966,0.3877551020408163,0.6792452830188679,0.33027742754221046,0.23223392582839583,0.4260355029585799,0.5038429306438551,0.4220828867620874,0.5874570201810768,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P6
