FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,model,Model,Prompt
56,one_word_P5,0.5951055555555556,0.5222222222222223,0.6612499999999999,0.41551966585780875,0.2702442827442828,0.5576923076923077,0.6479355609435934,0.5633802816901409,0.7206092436974789,0.25793131356025917,0.16124357176250584,0.36844129554655863,0.41551966585780875,0.2702442827442828,0.5576923076923077,0.31639421059507783,0.2068787771062922,0.4273809523809523,0.5317276134007011,0.45662375080593165,0.6148827809172154,Gemini-Pro-Vision,Gemini Pro Vision,P5
12,one_word_P6,0.7396519607843137,0.6813725490196079,0.7990196078431373,0.588081550198914,0.44997448979591836,0.7317073170731707,0.7839559433290664,0.717948717948718,0.8472054140127389,0.4435573488722951,0.30983994878361076,0.5806744868035191,0.588081550198914,0.44997448979591836,0.7317073170731707,0.5033728428206281,0.38092857142857145,0.6230020491803279,0.6860187467639901,0.609374207620334,0.7668466096115866,Gemini-Pro-Vision,Gemini Pro Vision,P6
34,one_word_P6,0.7407412280701754,0.6842105263157895,0.793859649122807,0.6300123822171221,0.5205479452054794,0.7384931506849315,0.7899856543047482,0.7284768211920529,0.8543285988149181,0.5709330119881443,0.4647761569416499,0.6805555555555556,0.6300123822171221,0.5205479452054794,0.7384931506849315,0.5973935193104242,0.5035946068320168,0.6842285508291276,0.7099990182609351,0.6435508281281976,0.7711482965796995,Gemini-Pro-Vision,Gemini Pro Vision,P6
56,one_word_P6,0.6415055555555556,0.5722222222222222,0.7111111111111111,0.36933515489408353,0.2291517857142857,0.5263523391812864,0.7220014655751875,0.6470588235294118,0.7916736577181207,0.2814527304936567,0.16393442622950818,0.4,0.36933515489408353,0.2291517857142857,0.5263523391812864,0.31704976411533675,0.1956521739130435,0.43566156615661566,0.5456683102346355,0.4668507599226864,0.6295852748695352,Gemini-Pro-Vision,Gemini Pro Vision,P6
12,one_word_P7,0.7265392156862746,0.6568627450980392,0.7892156862745098,0.6729031100502434,0.5318823273990447,0.8,0.7421237037143723,0.6645161290322581,0.8104757987110928,0.4325981064696614,0.3157894736842105,0.5569665461121157,0.6729031100502434,0.5318823273990447,0.8,0.5244395842250837,0.41173844537815124,0.640815675713982,0.7075134068823079,0.6273876956376956,0.7828893111496799,Gemini-Pro-Vision,Gemini Pro Vision,P7
34,one_word_P7,0.7183552631578948,0.6622807017543859,0.7763157894736842,0.8158389020557749,0.7230769230769231,0.8985869565217391,0.675277812595981,0.6012341772151898,0.7453471277885994,0.5255285640923061,0.4432741871530531,0.6142394583854588,0.8158389020557749,0.7230769230769231,0.8985869565217391,0.6380631431873015,0.56048282927263815,0.7179487179487178,0.7455583573258779,0.6864106779427994,0.8026942505385772,Gemini-Pro-Vision,Gemini Pro Vision,P7
56,one_word_P7,0.5998166666666667,0.5222222222222223,0.6668055555555554,0.5105067837233249,0.34782608695652173,0.6756756756756757,0.6260153115461959,0.5407258718572587,0.7050470582438159,0.2869311782644165,0.18836231884057972,0.38666666666666666,0.5105067837233249,0.34782608695652173,0.6756756756756757,0.36543697363108457,0.24994047619047619,0.47329248694254716,0.5682610476347605,0.48032314829627254,0.6541445630217659,Gemini-Pro-Vision,Gemini Pro Vision,P7
12,one_word_P8,0.7091813725490196,0.6470588235294118,0.7697303921568627,0.4790291718351493,0.34997093023255815,0.6153846153846154,0.776650091857429,0.7096774193548387,0.8427672955974843,0.38651597272707894,0.2727272727272727,0.5112365591397847,0.4790291718351493,0.34997093023255815,0.6153846153846154,0.4256743139577633,0.3157599053814311,0.539334760121277,0.6278396318462891,0.5572988920641571,0.7037669453447007,Gemini-Pro-Vision,Gemini Pro Vision,P8
34,one_word_P8,0.7186228070175439,0.6621710526315788,0.7719298245614035,0.6114377915280783,0.4864771021021021,0.72882851445663,0.7660087307203103,0.7025149382813114,0.8271711366538953,0.5354283318903656,0.4285238095238095,0.6436781609195402,0.6114377915280783,0.4864771021021021,0.72882851445663,0.5692270665885629,0.4748201438848921,0.6623376623376623,0.6887232611241944,0.6254702762515262,0.7553048767852373,Gemini-Pro-Vision,Gemini Pro Vision,P8
56,one_word_P8,0.6548722222222222,0.5833333333333334,0.7222222222222222,0.39111509300542296,0.24324324324324326,0.5405405405405406,0.7323221344467707,0.6551663428848956,0.8000342465753425,0.3004191007386785,0.1784931077694236,0.42857142857142855,0.39111509300542296,0.24324324324324326,0.5405405405405406,0.3374161048653541,0.21333333333333335,0.4599999999999999,0.5617186137260969,0.47755278716216215,0.6438565538659242,Gemini-Pro-Vision,Gemini Pro Vision,P8
